department,disease,section,question,prompt,href,gpt_gene,extracted_text
心胸外科,肋软骨炎,概述,肋软骨炎有什么症状？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肋软骨炎有什么症状？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8533442008402087827?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,症状,['症状']
心胸外科,肋软骨炎,概述,非特异性肋软骨炎怎么治疗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：非特异性肋软骨炎怎么治疗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8533442008402087827?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,"治疗方法
急救方法","['治疗方法', '急救方法']"
呼吸内科,心源性哮喘,概述,为何吗啡禁用于“哮喘”，却可以用于“心源性哮喘”？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：为何吗啡禁用于“哮喘”，却可以用于“心源性哮喘”？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11147270044236477509?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,治疗方法,['治疗方法']
呼吸内科,心源性哮喘,概述,家中突发“心源性哮喘”如何急救？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：家中突发“心源性哮喘”如何急救？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11147270044236477509?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,急救方法,['急救方法']
呼吸内科,心源性哮喘,概述,心源性哮喘的发生机制？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：心源性哮喘的发生机制？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_11147270044236477509?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,发病机制,['发病机制']
骨科,腰椎间盘突出症,概述,腰椎间盘突出症主要有哪些症状？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：腰椎间盘突出症主要有哪些症状？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8256563643003224723?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,症状,['症状']
骨科,腰椎间盘突出症,概述,腰椎间盘突出症的患者预后怎么样？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：腰椎间盘突出症的患者预后怎么样？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8256563643003224723?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,预后,
神经外科,颅缝早闭,概述,如何及早发现颅缝早闭？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：如何及早发现颅缝早闭？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,早期发现预防,['早期发现']
神经外科,颅缝早闭,概述,颅缝早闭可以治愈吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颅缝早闭可以治愈吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,其他预后,['其他预后']
神经外科,颅缝早闭,概述,颅缝早闭的诊断难点是什么？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颅缝早闭的诊断难点是什么？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,诊断依据,['诊断依据']
神经外科,颅缝早闭,概述,出现头颅外形异常，必须就医吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：出现头颅外形异常，必须就医吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,就诊科室,['就诊科室']
神经外科,颅缝早闭,概述,颅缝早闭如何预防？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颅缝早闭如何预防？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,日常习惯预防,['日常习惯']
神经外科,颅缝早闭,概述,颅缝早闭的危害是什么？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颅缝早闭的危害是什么？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10688355795071411347?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,影响生活质量，影响寿命，其他预后,"['影响生活质量', '影响寿命', '其他预后']"
急诊科,肠穿孔,概述,肠穿孔术后吃什么？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肠穿孔术后吃什么？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10897120153879478163?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,日常护理和注意事项,['日常护理和注意事项']
急诊科,肠穿孔,概述,肠穿孔有什么症状？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肠穿孔有什么症状？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10897120153879478163?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,症状,['症状']
急诊科,肠穿孔,概述,怎么判断有没有肠穿孔？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：怎么判断有没有肠穿孔？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10897120153879478163?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,检验检查、诊断依据,"['检验检查', '诊断依据']"
急诊科,肠穿孔,概述,肠穿孔手术是大手术吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肠穿孔手术是大手术吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10897120153879478163?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,日常护理和注意事项,['日常护理和注意事项']
急诊科,肠穿孔,概述,肠穿孔是什么引起的？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肠穿孔是什么引起的？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10897120153879478163?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,发病机制,['发病机制']
神经外科,脑干出血,概述,什么是脑干出血？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：什么是脑干出血？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8446447033472896915?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病介绍,['疾病介绍']
神经外科,脑干出血,概述,脑干出血能治好吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：脑干出血能治好吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8446447033472896915?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,其他预后,['其他预后']
神经外科,脑干出血,概述,脑出血如何早期判断？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：脑出血如何早期判断？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8446447033472896915?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病介绍、发病机制、症状、诊断依据、检验检查、治疗方法、急救方法、影响生活质量、影响寿命、其他预后、早期发现预防,
肛肠外科,肛窦炎,概述,肛窦炎有什么症状？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肛窦炎有什么症状？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8715040252227603959?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,症状,['症状']
肛肠外科,肛窦炎,概述,肛窦炎怎么治？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肛窦炎怎么治？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8715040252227603959?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,治疗方法、日常护理和注意事项、就诊科室、自限性、流行病学、影响生活质量、影响寿命、其他预后,
肛肠外科,肛窦炎,概述,肛窦炎能治愈吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：肛窦炎能治愈吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_8715040252227603959?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,良恶性,['良恶性']
骨科,颈心综合征,概述,颈心综合征和心源性胸痛怎么区分？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颈心综合征和心源性胸痛怎么区分？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10798115892012763422?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病之间的区别,['疾病之间的区别']
骨科,颈心综合征,概述,颈心综合征可以保守治疗吗？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颈心综合征可以保守治疗吗？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10798115892012763422?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,治疗方法,['治疗方法']
骨科,颈心综合征,概述,颈心综合征是颈椎病么？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：颈心综合征是颈椎病么？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10798115892012763422?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,疾病之间的区别,['疾病之间的区别']
泌尿外科,慢性附睾炎,概述,慢性附睾炎会不会有传染性？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：慢性附睾炎会不会有传染性？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10983736956827156432?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,传染性,
泌尿外科,慢性附睾炎,概述,慢性附睾炎会不会有生命危险，会不会影响生育？,"请从以下标签中选取标签['疾病介绍', '疾病之间的区别', '发病机制', '发病诱因', '症状', '就诊科室', '检验检查', '诊断依据', '治疗方法', '急救方法','治疗的作用机制', '日常护理和注意事项', '自限性', '良恶性', '并发症', '影响生活质量', '影响寿命', '其他预后', '流行病学', '日常习惯预防', '定期体检预防', '早期发现预防']，对问题做分类。

这是一个例子：**问题**：腋毛癣能自愈吗？**分类**:自限性

 **问题**：慢性附睾炎会不会有生命危险，会不会影响生育？

**分类**：
",https://www.baidu.com/bh/dict/ydxx_10983736956827156432?from=dicta&sf_ref=med_pc&sf_ch=ch_med_pc,"影响生活质量, 影响寿命, 其他预后","['影响生活质量', '影响寿命', '其他预后']"
